Sourceid,Title,Type,Issn,Subject_Category
16248,Journal of Attention Disorders,journal,"10870547, 15571246",Developmental_and_Educational_Psychology
21100911068,School Psychology,journal,"25784226, 25784218",Developmental_and_Educational_Psychology
14016,"Psychology and Psychotherapy: Theory, Research and Practice",journal,"20448341, 14760835",Developmental_and_Educational_Psychology
5700155900,Applied Developmental Science,journal,"1532480X, 10888691",Developmental_and_Educational_Psychology
13523,Early Education and Development,journal,"15566935, 10409289",Developmental_and_Educational_Psychology
12739,New Directions for Child and Adolescent Development,journal,"15348687, 15203247",Developmental_and_Educational_Psychology
21100378340,Psychosocial Intervention,journal,"11320559, 21734712",Developmental_and_Educational_Psychology
21101028072,Open Mind,journal,24702986,Developmental_and_Educational_Psychology
14798,Sex Roles,journal,"03600025, 15732762",Developmental_and_Educational_Psychology
21368,Instructional Science,journal,"00204277, 15731952",Developmental_and_Educational_Psychology
14035,Psychology of Women Quarterly,journal,"14716402, 03616843",Developmental_and_Educational_Psychology
30047,Journal of Positive Behavior Interventions,journal,"10983007, 15384772",Developmental_and_Educational_Psychology
14779,School Psychology Review,journal,"02796015, 2372966X",Developmental_and_Educational_Psychology
12070,Attachment and Human Development,journal,"14616734, 14692988",Developmental_and_Educational_Psychology
28874,European Journal of Psychology of Education,journal,"18785174, 02562928",Developmental_and_Educational_Psychology
14872,Child Psychiatry and Human Development,journal,"15733327, 0009398X",Developmental_and_Educational_Psychology
30021,Journal of Pediatric Psychology,journal,"01468693, 1465735X",Developmental_and_Educational_Psychology
21448,Journal of Experimental Education,journal,"19400683, 00220973",Developmental_and_Educational_Psychology
12834,Journal of Research in Reading,journal,"14679817, 01410423",Developmental_and_Educational_Psychology
13344,Social Psychology of Education,journal,"15731928, 13812890",Developmental_and_Educational_Psychology
12858,Cognition and Emotion,journal,"02699931, 14640600",Developmental_and_Educational_Psychology
21101055723,Computational Brain and Behavior,journal,2522087X,Developmental_and_Educational_Psychology
15472,Journal of Experimental Child Psychology,journal,"00220965, 10960457",Developmental_and_Educational_Psychology
19172,Psychosomatic Medicine,journal,"00333174, 15347796",Developmental_and_Educational_Psychology
21101017693,Motivation Science,journal,"23338113, 23338121",Developmental_and_Educational_Psychology
13486,Death Studies,journal,"10917683, 07481187",Developmental_and_Educational_Psychology
21100305282,Emerging Adulthood,journal,"21676984, 21676968",Developmental_and_Educational_Psychology
24482,Children and Youth Services Review,journal,01907409,Developmental_and_Educational_Psychology
22053,European Journal of Special Needs Education,journal,"08856257, 1469591X",Developmental_and_Educational_Psychology
13460,Learning Environments Research,journal,"15731855, 13871579",Developmental_and_Educational_Psychology
30086,Journal of Social and Personal Relationships,journal,02654075,Developmental_and_Educational_Psychology
29452,Aggressive Behavior,journal,"10982337, 0096140X",Developmental_and_Educational_Psychology
12125,Behaviour and Information Technology,journal,"13623001, 0144929X",Developmental_and_Educational_Psychology
19500157064,School Mental Health,journal,"18662625, 18662633",Developmental_and_Educational_Psychology
15413,Journal of Cognition and Development,journal,"15327647, 15248372",Developmental_and_Educational_Psychology
200147135,Journal of Child and Adolescent Mental Health,journal,"17280591, 17280583",Developmental_and_Educational_Psychology
25677,Journal of Child Language,journal,"03050009, 14697602",Developmental_and_Educational_Psychology
11300153602,Parenting,journal,"15295192, 15327922",Developmental_and_Educational_Psychology
25175,Infancy,journal,"15327078, 15250008",Developmental_and_Educational_Psychology
19391,Social Indicators Research,journal,"03038300, 15730921",Developmental_and_Educational_Psychology
144967,Early Childhood Education Journal,journal,"15731707, 10823301",Developmental_and_Educational_Psychology
15031,Infant Mental Health Journal,journal,"01639641, 10970355",Developmental_and_Educational_Psychology
21100896922,Journal of Language Evolution,journal,2058458X,Developmental_and_Educational_Psychology
12789,Journal of Creative Behavior,journal,"21626057, 00220175",Developmental_and_Educational_Psychology
19600161825,Revista de Psicodidactica,journal,"22544372, 11361034",Developmental_and_Educational_Psychology
19500156812,"Psychology of Aesthetics, Creativity, and the Arts",journal,"1931390X, 19313896",Developmental_and_Educational_Psychology
14566,American Journal of Speech-Language Pathology,journal,"10580360, 15589110",Developmental_and_Educational_Psychology
16247,Journal of Applied Research in Intellectual Disabilities,journal,"14683148, 13602322",Developmental_and_Educational_Psychology
14823,Social Cognition,journal,0278016X,Developmental_and_Educational_Psychology
11600153424,Canadian Journal of School Psychology,journal,"21543984, 08295735",Developmental_and_Educational_Psychology
14017,Human Development,journal,"14230054, 0018716X",Developmental_and_Educational_Psychology
13466,Psychological Research,journal,"14302772, 03400727",Developmental_and_Educational_Psychology
14852,Intelligence,journal,01602896,Developmental_and_Educational_Psychology
19227,Research in Developmental Disabilities,journal,"18733379, 08914222",Developmental_and_Educational_Psychology
25675,Journal of Early Adolescence,journal,"15525449, 02724316",Developmental_and_Educational_Psychology
12768,British Journal of Developmental Psychology,journal,"2044835X, 0261510X",Developmental_and_Educational_Psychology
16705,Journal of Emotional and Behavioral Disorders,journal,"15384799, 10634266",Developmental_and_Educational_Psychology
28902,Family Relations,journal,"01976664, 17413729",Developmental_and_Educational_Psychology
15371,Journal of Adolescent Research,journal,"07435584, 15526895",Developmental_and_Educational_Psychology
22076,Gifted Child Quarterly,journal,"00169862, 19349041",Developmental_and_Educational_Psychology
12769,Journal of Behavioral Education,journal,"10530819, 15733513",Developmental_and_Educational_Psychology
12869,Cognitive Development,journal,08852014,Developmental_and_Educational_Psychology
21996,Behavioral Disorders,journal,01987429,Developmental_and_Educational_Psychology
5700191204,Research in Autism Spectrum Disorders,journal,"17509467, 18780237",Developmental_and_Educational_Psychology
14183,Aphasiology,journal,"14645041, 02687038",Developmental_and_Educational_Psychology
13401,Consciousness and Cognition,journal,"10538100, 10902376",Developmental_and_Educational_Psychology
12163,Brain and Cognition,journal,"10902147, 02782626",Developmental_and_Educational_Psychology
29163,International Journal of Aging and Human Development,journal,"00914150, 15413535",Developmental_and_Educational_Psychology
13422,Psychoanalytic Quarterly,journal,"00332828, 21674086",Developmental_and_Educational_Psychology
130178,Cognitive Linguistics,journal,"09365907, 16133641",Developmental_and_Educational_Psychology
17508,Social Development,journal,"14679507, 0961205X",Developmental_and_Educational_Psychology
5700164241,Young,journal,11033088,Developmental_and_Educational_Psychology
14830,Infant Behavior and Development,journal,"01636383, 19348800",Developmental_and_Educational_Psychology
23164,School Psychology International,journal,"14617374, 01430343",Developmental_and_Educational_Psychology
15399,Journal of Child and Family Studies,journal,"15732843, 10621024",Developmental_and_Educational_Psychology
14065,Measurement and Evaluation in Counseling and Development,journal,"07481756, 19476302",Developmental_and_Educational_Psychology
14775,Scandinavian Journal of Psychology,journal,"14679450, 00365564",Developmental_and_Educational_Psychology
14539,Developmental Psychobiology,journal,"00121630, 10982302",Developmental_and_Educational_Psychology
18000156704,Mathematical Thinking and Learning,journal,"15327833, 10986065",Developmental_and_Educational_Psychology
17900156720,European Early Childhood Education Research Journal,journal,"1350293X, 17521807",Developmental_and_Educational_Psychology
12100156129,Learning Disabilities Research and Practice,journal,"15405826, 09388982",Developmental_and_Educational_Psychology
14916,Cognitive Neuropsychology,journal,"14640627, 02643294",Developmental_and_Educational_Psychology
12024,Applied Cognitive Psychology,journal,"10990720, 08884080",Developmental_and_Educational_Psychology
5700152857,"Mind, Culture, and Activity",journal,"10749039, 15327884",Developmental_and_Educational_Psychology
19700187606,Roeper Review,journal,"1940865X, 02783193",Developmental_and_Educational_Psychology
19600166324,International Journal of Early Childhood,journal,"18784658, 00207187",Developmental_and_Educational_Psychology
14030,Psychology in the Schools,journal,"00333085, 15206807",Developmental_and_Educational_Psychology
14820,Infant and Child Development,journal,"15227227, 15227219",Developmental_and_Educational_Psychology
66374,Journal of Educational Measurement,journal,00220655,Developmental_and_Educational_Psychology
21101028599,Developmental Child Welfare,journal,"25161032, 25161040",Developmental_and_Educational_Psychology
14561,"Child: Care, Health and Development",journal,"03051862, 13652214",Developmental_and_Educational_Psychology
17900156741,European Journal of Developmental Psychology,journal,"17405610, 17405629",Developmental_and_Educational_Psychology
29450,Applied Measurement in Education,journal,"15324818, 08957347",Developmental_and_Educational_Psychology
21101042487,"European Journal of Investigation in Health, Psychology and Education",journal,"21748144, 22549625",Developmental_and_Educational_Psychology
21100870584,International Journal of School and Educational Psychology,journal,"21683603, 21683611",Developmental_and_Educational_Psychology
21101055720,International Journal of Bullying Prevention,journal,"25233653, 25233661",Developmental_and_Educational_Psychology
13452,Creativity Research Journal,journal,"15326934, 10400419",Developmental_and_Educational_Psychology
29424,Acta Psychologica,journal,"18736297, 00016918",Developmental_and_Educational_Psychology
12738,Child Neuropsychology,journal,"17444136, 09297049",Developmental_and_Educational_Psychology
21100901905,Revista de Psicologia Clinica con Ninos y Adolescentes,journal,23408340,Developmental_and_Educational_Psychology
15104,Journal of Developmental and Behavioral Pediatrics,journal,"0196206X, 15367312",Developmental_and_Educational_Psychology
14282,Behavioral Interventions,journal,"10720847, 1099078X",Developmental_and_Educational_Psychology
22029,Dyslexia,journal,"10769242, 10990909",Developmental_and_Educational_Psychology
21100897500,Education Sciences,journal,22277102,Developmental_and_Educational_Psychology
5200152840,Intellectual and Developmental Disabilities,journal,"19349491, 19349556",Developmental_and_Educational_Psychology
14340,Brain Injury,journal,"1362301X, 02699052",Developmental_and_Educational_Psychology
5800207405,Journal of Early Childhood Research,journal,"1476718X, 17412927",Developmental_and_Educational_Psychology
12100156320,"Mind, Brain, and Education",journal,"17512271, 1751228X",Developmental_and_Educational_Psychology
19700188308,Research in Human Development,journal,"15427617, 15427609",Developmental_and_Educational_Psychology
21100935804,Autism and Developmental Language Impairments,journal,23969415,Developmental_and_Educational_Psychology
12102,Behavior Modification,journal,"01454455, 15524167",Developmental_and_Educational_Psychology
15372,Journal of Adult Development,journal,"10680667, 15733440",Developmental_and_Educational_Psychology
4700152821,Journal of Research in Childhood Education,journal,02568543,Developmental_and_Educational_Psychology
18923,Journal of Genetic Psychology,journal,"19400896, 00221325",Developmental_and_Educational_Psychology
12797,Journal of Educational and Psychological Consultation,journal,"10474412, 1532768X",Developmental_and_Educational_Psychology
5700153985,Exceptionality,journal,"09362835, 15327035",Developmental_and_Educational_Psychology
21100894554,Multidisciplinary Journal of Educational Research,journal,20142862,Developmental_and_Educational_Psychology
21101017384,Current Developmental Disorders Reports,journal,21962987,Developmental_and_Educational_Psychology
4700152864,Journal of Public Child Welfare,journal,"15548732, 15548740",Developmental_and_Educational_Psychology
17500155152,American Journal on Intellectual and Developmental Disabilities,journal,"19447515, 19447558",Developmental_and_Educational_Psychology
19700181331,International Journal of Children's Spirituality,journal,"14698455, 1364436X",Developmental_and_Educational_Psychology
21100235822,International Journal of Developmental Disabilities,journal,"20473877, 20473869",Developmental_and_Educational_Psychology
22603,Journal of Early Intervention,journal,"21543992, 10538151",Developmental_and_Educational_Psychology
21100378341,Psicologia Educativa,journal,"1135755X, 21740526",Developmental_and_Educational_Psychology
15930,Zeitschrift fur Padagogische Psychologie,journal,"16642910, 10100652",Developmental_and_Educational_Psychology
14315,Journal of Developmental and Physical Disabilities,journal,"1056263X, 15733580",Developmental_and_Educational_Psychology
21100305243,Australasian Journal of Early Childhood,journal,18369391,Developmental_and_Educational_Psychology
15965,Personal Relationships,journal,"13504126, 14756811",Developmental_and_Educational_Psychology
21101160593,Insight,journal,"26646005, 2663970X",Developmental_and_Educational_Psychology
24575,Early Child Development and Care,journal,"14768275, 03004430",Developmental_and_Educational_Psychology
15436,Journal of Constructivist Psychology,journal,"15210650, 10720537",Developmental_and_Educational_Psychology
12100155715,Assessment for Effective Intervention,journal,"19387458, 15345084",Developmental_and_Educational_Psychology
144907,Peabody Journal of Education,journal,"0161956X, 15327930",Developmental_and_Educational_Psychology
17100154740,Counselor Education and Supervision,journal,"00110035, 15566978",Developmental_and_Educational_Psychology
19700190348,Coaching,journal,"17521890, 17521882",Developmental_and_Educational_Psychology
26941,Theory and Decision,journal,"15737187, 00405833",Developmental_and_Educational_Psychology
21100836861,Advances in Autism,journal,"20563876, 20563868",Developmental_and_Educational_Psychology
16054,Reading Psychology,journal,"02702711, 15210685",Developmental_and_Educational_Psychology
24470,Childhood,journal,"09075682, 14617013",Developmental_and_Educational_Psychology
21100934557,Journal of Intelligence,journal,20793200,Developmental_and_Educational_Psychology
5700164344,Youth Justice,journal,14732254,Developmental_and_Educational_Psychology
21100391100,Psychoanalytic Study of the Child,journal,00797308,Developmental_and_Educational_Psychology
13457,Learning and Motivation,journal,"00239690, 10959122",Developmental_and_Educational_Psychology
21101023217,Gifted Education International,journal,"20479077, 02614294",Developmental_and_Educational_Psychology
21100255433,Applied Neuropsychology: Child,journal,"21622973, 21622965",Developmental_and_Educational_Psychology
19700173116,Journal of Children's Services,journal,17466660,Developmental_and_Educational_Psychology
21100829244,Applied neuropsychology. Adult,journal,"23279095, 23279109",Developmental_and_Educational_Psychology
19700190344,Early Years,journal,"14724421, 09575146",Developmental_and_Educational_Psychology
21100899302,Qualitative Research in Education,journal,20146418,Developmental_and_Educational_Psychology
19700190314,Pastoral Care in Education,journal,"14680122, 02643944",Developmental_and_Educational_Psychology
11400153314,Contemporary Issues in Early Childhood,journal,14639491,Developmental_and_Educational_Psychology
17900156731,Young Exceptional Children,journal,"2154400X, 10962506",Developmental_and_Educational_Psychology
13498,Developmental Neuropsychology,journal,"15326942, 87565641",Developmental_and_Educational_Psychology
22108,"International Journal of Disability, Development and Education",journal,"1465346X, 1034912X",Developmental_and_Educational_Psychology
12691,Merrill-Palmer Quarterly,journal,"0272930X, 15350266",Developmental_and_Educational_Psychology
21100809808,Educational and Developmental Psychologist,journal,"20590784, 20590776",Developmental_and_Educational_Psychology
19800188058,Australian Journal of Learning Difficulties,journal,"19404158, 19404166",Developmental_and_Educational_Psychology
21101163444,"International Journal on Child Maltreatment: Research, Policy and Practice",journal,"25245236, 25245244",Developmental_and_Educational_Psychology
21100818942,Journal of Psychologists and Counsellors in Schools,journal,"20556365, 20556373",Developmental_and_Educational_Psychology
21101077107,Continuity in Education,journal,26319179,Developmental_and_Educational_Psychology
21100229214,Malaysian Journal of Learning and Instruction,journal,"21802483, 16758110",Developmental_and_Educational_Psychology
70451,Consulting Psychology Journal,journal,10659293,Developmental_and_Educational_Psychology
21100937445,Journal of Education and e-Learning Research,journal,"25180169, 24109991",Developmental_and_Educational_Psychology
5000153705,Education and Treatment of Children,journal,07488491,Developmental_and_Educational_Psychology
5700154766,International Journal of Early Years Education,journal,09669760,Developmental_and_Educational_Psychology
5800207890,Educational Psychology in Practice,journal,02667363,Developmental_and_Educational_Psychology
21100899297,Middle School Journal,journal,"00940771, 23276223",Developmental_and_Educational_Psychology
21100922942,Teaching Exceptional Children,journal,"21635684, 00400599",Developmental_and_Educational_Psychology
13375,Psicologica,journal,"02112159, 15768597",Developmental_and_Educational_Psychology
22041,Emotional and Behavioural Difficulties,journal,"17412692, 13632752",Developmental_and_Educational_Psychology
15913,Zeitschrift fur Entwicklungspsychologie und Padagogische Psychologie,journal,"00498637, 21906262",Developmental_and_Educational_Psychology
15053,Infants and Young Children,journal,"08963746, 15505081",Developmental_and_Educational_Psychology
22109,Intervention in School and Clinic,journal,"10534512, 15384810",Developmental_and_Educational_Psychology
21100824878,Clinical Practice in Pediatric Psychology,journal,"21694826, 21694834",Developmental_and_Educational_Psychology
19900191857,Education and Training in Autism and Developmental Disabilities,journal,21541647,Developmental_and_Educational_Psychology
21100836847,Preventing School Failure,journal,"1045988X, 19404387",Developmental_and_Educational_Psychology
21100894553,Gifted Child Today,journal,"10762175, 2162951X",Developmental_and_Educational_Psychology
21101073718,Learning Disabilities,journal,"19376928, 19376936",Developmental_and_Educational_Psychology
5800207394,Child Care in Practice,journal,13575279,Developmental_and_Educational_Psychology
6200180185,Infancia y Aprendizaje,journal,"15784126, 02103702",Developmental_and_Educational_Psychology
21100267903,International Journal of Game-Based Learning,journal,"21556857, 21556849",Developmental_and_Educational_Psychology
6500153239,Vulnerable Children and Youth Studies,journal,"17450136, 17450128",Developmental_and_Educational_Psychology
67476,Social Anthropology,journal,"14698676, 09640282",Developmental_and_Educational_Psychology
21100899009,International Journal of Educational Psychology,journal,20143591,Developmental_and_Educational_Psychology
21100205738,Journal of Humanistic Counseling,journal,"21611939, 21590311",Developmental_and_Educational_Psychology
19700200984,Review of Cognitive Linguistics,journal,"18779751, 1877976X",Developmental_and_Educational_Psychology
22015,Child Language Teaching and Therapy,journal,"02656590, 14770865",Developmental_and_Educational_Psychology
21100844910,Learning and Teaching,journal,"17552281, 17552273",Developmental_and_Educational_Psychology
21100777750,International Journal of Emotional Education,journal,20737629,Developmental_and_Educational_Psychology
21101055930,Open Education Studies,journal,25447831,Developmental_and_Educational_Psychology
29216,Children's Health Care,journal,"15326888, 02739615",Developmental_and_Educational_Psychology
21100244818,International Journal of Developmental Sciences,journal,"21917485, 2192001X",Developmental_and_Educational_Psychology
21100451148,Bordon,journal,"02105934, 23406577",Developmental_and_Educational_Psychology
21100860383,Cultural-Historical Psychology,journal,"22248935, 18165435",Developmental_and_Educational_Psychology
21100793123,Journal of College Reading and Learning,journal,"10790195, 23327413",Developmental_and_Educational_Psychology
1000147119,Zeitschrift fur Germanistische Linguistik,journal,"16130626, 03013294",Developmental_and_Educational_Psychology
14564,American Annals of the Deaf,journal,"15430375, 0002726X",Developmental_and_Educational_Psychology
4700152737,Journal of Applied School Psychology,journal,"15377903, 15377911",Developmental_and_Educational_Psychology
21100996943,Psychological Science and Education,journal,"18142052, 23117273",Developmental_and_Educational_Psychology
21100330721,Person-Centered and Experiential Psychotherapies,journal,"17529182, 14779757",Developmental_and_Educational_Psychology
21100896938,Revista Fuentes,journal,21727775,Developmental_and_Educational_Psychology
21100834525,Gruppe. Interaktion. Organisation. Zeitschrift fur Angewandte Organisationspsychologie,journal,"23666145, 23666218",Developmental_and_Educational_Psychology
21100870589,International Journal of Play,journal,21594953,Developmental_and_Educational_Psychology
21100790313,Interpersona,journal,19816472,Developmental_and_Educational_Psychology
100147339,British Journal of Special Education,journal,"14678578, 09523383",Developmental_and_Educational_Psychology
22931,Russian Linguistics,journal,"15728714, 03043487",Developmental_and_Educational_Psychology
21100905833,Beyond Behavior,journal,"21635323, 10742956",Developmental_and_Educational_Psychology
21100902869,South African Journal of Childhood Education,journal,"22237674, 22237682",Developmental_and_Educational_Psychology
21100886411,International Journal of Education and Practice,journal,"23116897, 23103868",Developmental_and_Educational_Psychology
5600154732,Journal for Specialists in Group Work,journal,01933922,Developmental_and_Educational_Psychology
21100400185,Girlhood Studies,journal,"19388209, 19388322",Developmental_and_Educational_Psychology
17600155139,Adultspan Journal,journal,"21610029, 15246817",Developmental_and_Educational_Psychology
29474,American Journal of Psychology,journal,"19398298, 00029556",Developmental_and_Educational_Psychology
21101050919,"Journal of Family Trauma, Child Custody and Child Development",journal,"26904586, 26904594",Developmental_and_Educational_Psychology
21100925743,Journal of Youth Development,journal,"23254009, 23254017",Developmental_and_Educational_Psychology
21100381293,Children Australia,journal,"10350772, 20497776",Developmental_and_Educational_Psychology
21100900514,Obrazovanie i Nauka,journal,"19945639, 23105828",Developmental_and_Educational_Psychology
5800207419,Tizard Learning Disability Review,journal,13595474,Developmental_and_Educational_Psychology
21100894548,Global Studies of Childhood,journal,20436106,Developmental_and_Educational_Psychology
21100911837,Participatory Educational Research,journal,21486123,Developmental_and_Educational_Psychology
7000153258,International Journal of Psychology and Psychological Therapy,journal,15777057,Developmental_and_Educational_Psychology
21100935905,Boyhood Studies,journal,"23759240, 23759267",Developmental_and_Educational_Psychology
21100940999,"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud",journal,"20277679, 1692715X",Developmental_and_Educational_Psychology
21101085514,"Journal of Childhood, Education and Society",journal,2717638X,Developmental_and_Educational_Psychology
18300156724,Psychology of Language and Communication,journal,12342238,Developmental_and_Educational_Psychology
18800156721,Electronic Journal of Research in Educational Psychology,journal,"16962095, 16995880",Developmental_and_Educational_Psychology
21100979307,Counseling Psychology and Psychotherapy,journal,"20753470, 23119446",Developmental_and_Educational_Psychology
21100229177,Journal of Psychological and Educational Research,journal,22471537,Developmental_and_Educational_Psychology
21100900129,Childhood and Philosophy,journal,"25255061, 19845987",Developmental_and_Educational_Psychology
21100972436,Gifted and Talented International,journal,"15332276, 24709565",Developmental_and_Educational_Psychology
21101172014,Designs for Learning,journal,20017480,Developmental_and_Educational_Psychology
5700169412,Acta Comportamentalia,journal,01888145,Developmental_and_Educational_Psychology
15990,Psychologie in Erziehung und Unterricht,journal,0342183X,Developmental_and_Educational_Psychology
21100896480,Education et Didactique,journal,"21114838, 19563485",Developmental_and_Educational_Psychology
21100784273,Journal of Intellectual Disability - Diagnosis and Treatment,journal,22922598,Developmental_and_Educational_Psychology
21100860442,Asia-Pacific Journal of Research in Early Childhood Education,journal,"19761961, 22335234",Developmental_and_Educational_Psychology
21100239659,Maltrattamento e Abuso all'Infanzia,journal,"15914267, 19725140",Developmental_and_Educational_Psychology
21100860773,Journal of Sport and Health Research,journal,19896239,Developmental_and_Educational_Psychology
3900148501,North American Journal of Psychology,journal,15277143,Developmental_and_Educational_Psychology
21100899503,Transactional Analysis Journal,journal,"23295244, 03621537",Developmental_and_Educational_Psychology
21101134692,Studia Warminskie,journal,01376624,Developmental_and_Educational_Psychology
21101164613,"Review of Science, Mathematics and ICT Education",journal,"1791261X, 17923999",Developmental_and_Educational_Psychology
21100211372,Life Span and Disability,journal,20355963,Developmental_and_Educational_Psychology
21100901563,"Korean Journal of Physical, Multiple and Health Disabilities",journal,22883843,Developmental_and_Educational_Psychology
21100204509,Exceptionality Education International,journal,19185227,Developmental_and_Educational_Psychology
21100790339,Integration of Education,journal,"19919468, 23081058",Developmental_and_Educational_Psychology
21100900142,Theory and Practice of Second Language Acquisition,journal,"24505455, 24512125",Developmental_and_Educational_Psychology
21100829905,Bulletin of Educational Psychology,journal,10115714,Developmental_and_Educational_Psychology
21100205744,Health and Addictions / Salud y Drogas,journal,"15785319, 1988205X",Developmental_and_Educational_Psychology
21100198212,Psicologia Clinica dello Sviluppo,journal,1824078X,Developmental_and_Educational_Psychology
21100910239,Journal of Elementary Education,journal,"23504803, 18554431",Developmental_and_Educational_Psychology
21100223575,Educational and Child Psychology,book series,02671611,Developmental_and_Educational_Psychology
15600,Neuropsychiatrie de l'Enfance et de l'Adolescence,journal,"02229617, 17696615",Developmental_and_Educational_Psychology
21100211304,Psicologia Escolar e Educacional,journal,"14138557, 21753539",Developmental_and_Educational_Psychology
21100812627,Publicaciones de la Facultad de Educacion y Humanidades del Campus de Melilla,journal,"25309269, 15774147",Developmental_and_Educational_Psychology
21100396634,"Journal of Educational, Cultural and Psychological Studies",journal,"20377924, 20377932",Developmental_and_Educational_Psychology
21100904920,Journal of Measurement and Evaluation in Education and Psychology,journal,13096575,Developmental_and_Educational_Psychology
18621,Praxis der Kinderpsychologie und Kinderpsychiatrie,journal,00327034,Developmental_and_Educational_Psychology
21100258631,International Journal of Early Childhood Learning,journal,"23278722, 23277939",Developmental_and_Educational_Psychology
21100877822,Revista Argentina de Ciencias del Comportamiento,journal,18524206,Developmental_and_Educational_Psychology
21100898630,Journal of Special Education Leadership,journal,15251810,Developmental_and_Educational_Psychology
21100898040,Childhood Education,journal,"00094056, 21620725",Developmental_and_Educational_Psychology
21100372604,Journal of Applied Research on Children,journal,21555834,Developmental_and_Educational_Psychology
21100206246,Orientation Scolaire et Professionnelle,journal,"02496739, 21043795",Developmental_and_Educational_Psychology
21100925826,Specijalna Edukacija i Rehabilitacija,journal,"14527367, 24061328",Developmental_and_Educational_Psychology
21100921057,Ricerche di Pedagogia e Didattica,journal,19702221,Developmental_and_Educational_Psychology
21100253384,"International Journal of Cyber Behavior, Psychology and Learning",journal,"21557136, 21557144",Developmental_and_Educational_Psychology
21100841704,Journal of Cognitive Education and Psychology,journal,"18107621, 19458959",Developmental_and_Educational_Psychology
26274,Metiers de la Petite Enfance,journal,1258780X,Developmental_and_Educational_Psychology
5700157895,Enfance,journal,00137545,Developmental_and_Educational_Psychology
17515,ANAE - Approche Neuropsychologique des Apprentissages chez l'Enfant,journal,0999792X,Developmental_and_Educational_Psychology
21100903064,Language Acquisition and Language Disorders,book series,09250123,Developmental_and_Educational_Psychology
12100156089,Ljetopis Socijalnog Rada,journal,18465412,Developmental_and_Educational_Psychology
21101060914,Rivista di Psicolinguistica Applicata,journal,"17240646, 15921328",Developmental_and_Educational_Psychology
21101021436,Per Linguam,journal,"22240012, 02592312",Developmental_and_Educational_Psychology
21100208021,Infant Observation,journal,"17458943, 13698036",Developmental_and_Educational_Psychology
17600155117,Devenir,journal,10158154,Developmental_and_Educational_Psychology
21101034433,Musical Art and Education,journal,23091428,Developmental_and_Educational_Psychology
21101146415,Jurnal Pengukuran Psikologi dan Pendidikan Indonesia,journal,"20896247, 26545713",Developmental_and_Educational_Psychology
17700156011,Enfances et Psy,journal,"12865559, 17762820",Developmental_and_Educational_Psychology
21101039065,Ethics in Progress,journal,20849257,Developmental_and_Educational_Psychology
21101111533,Ethiopian Renaissance Journal of Social Sciences and Humanities,journal,"24096377, 24096385",Developmental_and_Educational_Psychology
21100223584,Specialusis Ugdymas,journal,"24243299, 13925369",Developmental_and_Educational_Psychology
21100203701,"Stem-, Spraak- en Taalpathologie",journal,09247025,Developmental_and_Educational_Psychology
21101168053,Bilingual Processing and Acquisition,book series,23520531,Developmental_and_Educational_Psychology
17600155215,Spirale,journal,12784699,Developmental_and_Educational_Psychology
12027,Japanese Journal of Educational Psychology,journal,"00215015, 21863075",Developmental_and_Educational_Psychology
21101117183,Environment and Social Psychology,journal,"24248975, 24247979",Developmental_and_Educational_Psychology
21100258757,Journal of Classroom Interaction,journal,07494025,Developmental_and_Educational_Psychology
21100902937,Studies in Bilingualism,book series,09281533,Developmental_and_Educational_Psychology
4600151402,Volta Review,journal,00428639,Developmental_and_Educational_Psychology
21100258632,International Journal of Pedagogy and Curriculum,journal,"23277963, 23279133",Developmental_and_Educational_Psychology
5600155562,Sciences de l'Education pour l'Ere Nouvelle,journal,07559593,Developmental_and_Educational_Psychology
3900148508,Ortho Magazine,journal,12624586,Developmental_and_Educational_Psychology
21101153195,Clinical Psychology and Special Education,journal,23040394,Developmental_and_Educational_Psychology
21101034437,Journal for ReAttach Therapy and Developmental Diversities (discontinued),journal,25897799,Developmental_and_Educational_Psychology
21101162692,Journal of Education and Learning,journal,"20899823, 23029277",Developmental_and_Educational_Psychology
13969,Psychological Science in the Public Interest,journal,"21600031, 15291006",Psychology_(miscellaneous)
12010,Annual Review of Psychology,journal,"00664308, 15452085",Psychology_(miscellaneous)
13443,Psychological Bulletin,journal,"00332909, 19391455",Psychology_(miscellaneous)
21101046404,Advances in Methods and Practices in Psychological Science,journal,"25152459, 25152467",Psychology_(miscellaneous)
19700182323,Perspectives on Psychological Science,journal,"17456916, 17456924",Psychology_(miscellaneous)
21101159371,Nature Reviews Psychology,journal,27310574,Psychology_(miscellaneous)
5100155099,Qualitative Research in Psychology,journal,"14780895, 14780887",Psychology_(miscellaneous)
13461,Psychological Methods,journal,"1082989X, 19391463",Psychology_(miscellaneous)
29492,American Psychologist,journal,"0003066X, 1935990X",Psychology_(miscellaneous)
30020,Journal of Organizational Behavior,journal,"10991379, 08943796",Psychology_(miscellaneous)
13477,Current Directions in Psychological Science,journal,"14678721, 09637214",Psychology_(miscellaneous)
13467,Psychological Review,journal,"19391471, 0033295X",Psychology_(miscellaneous)
13468,Psychological Science,journal,"09567976, 14679280",Psychology_(miscellaneous)
19419,Computers in Human Behavior,journal,07475632,Psychology_(miscellaneous)
21100372442,Current Opinion in Psychology,journal,2352250X,Psychology_(miscellaneous)
146223,Behavior Research Methods,journal,"15543528, 1554351X",Psychology_(miscellaneous)
14061,Psychometrika,journal,"00333123, 18600980",Psychology_(miscellaneous)
