Sourceid,Title,Type,Issn,Subject_Category
14823,Social Cognition,journal,0278016X,Social_Psychology
15430,Journal of Community Psychology,journal,"15206629, 00904392",Social_Psychology
15496,International Journal of Intercultural Relations,journal,01471767,Social_Psychology
19700187804,Children's Geographies,journal,"14733277, 14733285",Social_Psychology
19900193855,Revista de Psicologia del Trabajo y de las Organizaciones,journal,"15765962, 21740534",Social_Psychology
21100855505,Journal of Cybersecurity,journal,20572093,Social_Psychology
14246,Group Dynamics,journal,"10892699, 19307802",Social_Psychology
19700169951,International Journal of Testing,journal,"15305058, 15327574",Social_Psychology
21100870687,Perspectives on Behavior Science,journal,"25208969, 25208977",Social_Psychology
5700177956,Journal of Family Communication,journal,"15327698, 15267431",Social_Psychology
19700190346,Consumption Markets and Culture,journal,"10253866, 1477223X",Social_Psychology
78905,Research and Practice for Persons with Severe Disabilities,journal,15407969,Social_Psychology
14045,"Psychology, Public Policy, and Law",journal,10768971,Social_Psychology
5700152857,"Mind, Culture, and Activity",journal,"10749039, 15327884",Social_Psychology
12055,Asian Journal of Social Psychology,journal,"1467839X, 13672223",Social_Psychology
30090,Journal of Social Psychology,journal,"00224545, 19401183",Social_Psychology
147229,Discourse Studies,journal,"14614456, 14617080",Social_Psychology
21101136809,Current Research in Ecological and Social Psychology,journal,26666227,Social_Psychology
21100812569,Journal of Social and Political Psychology,journal,21953325,Social_Psychology
15567,Journal of Marital and Family Therapy,journal,"17520606, 0194472X",Social_Psychology
6400153136,BioPsychoSocial Medicine,journal,17510759,Social_Psychology
17900156741,European Journal of Developmental Psychology,journal,"17405610, 17405629",Social_Psychology
15500,Journal of Family and Economic Issues,journal,"15733475, 10580476",Social_Psychology
17500155125,"Emotion, Space and Society",journal,"17554586, 18780040",Social_Psychology
12088,Basic and Applied Social Psychology,journal,"01973533, 15324834",Social_Psychology
21100413715,"Sport, Exercise, and Performance Psychology",journal,"21573913, 21573905",Social_Psychology
21100831409,Couple and Family Psychology: Research and Practice,journal,"21604096, 2160410X",Social_Psychology
21101055720,International Journal of Bullying Prevention,journal,"25233653, 25233661",Social_Psychology
21321,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,journal,"13600451, 09540121",Social_Psychology
30085,Journal of Social and Clinical Psychology,journal,07367236,Social_Psychology
17700156745,Psychology of Religion and Spirituality,journal,19411022,Social_Psychology
26619,Symbolic Interaction,journal,"15338665, 01956086",Social_Psychology
19700188900,Social Psychology,journal,"18649335, 21512590",Social_Psychology
23083,Language and Communication,journal,02715309,Social_Psychology
21100887623,Comprehensive Results in Social Psychology,journal,23743611,Social_Psychology
5600152890,Body and Society,journal,"1357034X, 14603632",Social_Psychology
21100821132,Decision,journal,"23259973, 23259965",Social_Psychology
21101024236,Journal of Theoretical Social Psychology,journal,24750387,Social_Psychology
19700188308,Research in Human Development,journal,"15427617, 15427609",Social_Psychology
21101021571,Intervention,journal,"15718883, 18721001",Social_Psychology
21101041408,Evolutionary Psychological Science,journal,21989885,Social_Psychology
15540,Journal of Humanistic Psychology,journal,"1552650X, 00221678",Social_Psychology
13560,Ecological Psychology,journal,"15326969, 10407413",Social_Psychology
19900193647,Genes and Environment,journal,"18807046, 18807062",Social_Psychology
30016,Journal of Nonverbal Behavior,journal,"01915886, 15733653",Social_Psychology
17700156742,Journal of Media Psychology,journal,"18641105, 21512388",Social_Psychology
145246,Journal of Workplace Learning,journal,13665626,Social_Psychology
14293,Deviant Behavior,journal,"15210456, 01639625",Social_Psychology
21100927406,Health Psychology Research,journal,24208124,Social_Psychology
21100378341,Psicologia Educativa,journal,"1135755X, 21740526",Social_Psychology
21100329895,Behavioral Sciences of Terrorism and Political Aggression,journal,"19434480, 19434472",Social_Psychology
6700153284,Social Influence,journal,"15534529, 15534510",Social_Psychology
21100331602,Annals of Leisure Research,journal,"11745398, 21596816",Social_Psychology
15367,Journal for the Theory of Social Behaviour,journal,"14685914, 00218308",Social_Psychology
26437,Social Science Journal,journal,03623319,Social_Psychology
7100153131,International Journal of Sexual Health,journal,"1931762X, 19317611",Social_Psychology
5800179612,Social Neuroscience,journal,"17470919, 17470927",Social_Psychology
14095,Ethics and Behavior,journal,"15327019, 10508422",Social_Psychology
21100838559,Fashion and Textiles,journal,21980802,Social_Psychology
21100455449,Porn Studies,journal,"23268743, 23268751",Social_Psychology
21100829991,"Psychology of Consciousness: Theory Research, and Practice",journal,"23265531, 23265523",Social_Psychology
15965,Personal Relationships,journal,"13504126, 14756811",Social_Psychology
27618,American Journal of Health Behavior,journal,"10873244, 19457359",Social_Psychology
21101160593,Insight,journal,"26646005, 2663970X",Social_Psychology
19700170190,"Journal of Men's Studies, The",journal,"10608265, 19330251",Social_Psychology
24575,Early Child Development and Care,journal,"14768275, 03004430",Social_Psychology
15436,Journal of Constructivist Psychology,journal,"15210650, 10720537",Social_Psychology
17800156703,Journal of Empirical Research on Human Research Ethics,journal,"15562646, 15562654",Social_Psychology
144975,Family Journal,journal,10664807,Social_Psychology
21100330714,Journal of Sport Psychology in Action,journal,"21520712, 21520704",Social_Psychology
21100801744,Violence and Gender,journal,"23267852, 23267836",Social_Psychology
21101043232,Journal of Psychedelic Studies,journal,25599283,Social_Psychology
19700190348,Coaching,journal,"17521890, 17521882",Social_Psychology
16707,Journal of Family Therapy,journal,"14676427, 01634445",Social_Psychology
5700165306,Qualitative Report,journal,10520147,Social_Psychology
21100920054,Community Psychology in Global Perspective.,journal,24212113,Social_Psychology
11200153508,Memory Studies,journal,"17506999, 17506980",Social_Psychology
21101059716,Al-Ihkam: Jurnal Hukum dan Pranata Sosial,journal,"24423084, 1907591X",Social_Psychology
21101017551,Journal of Evidence-Based Social Work (United States),journal,"26408074, 26408066",Social_Psychology
21100370349,Journal of Criminal Psychology,journal,20093829,Social_Psychology
21101155811,"Memory, Mind and Media",journal,26350238,Social_Psychology
15617,Journal of Comparative Family Studies,journal,00472328,Social_Psychology
145613,"American Journal of Family Therapy, The",journal,01926187,Social_Psychology
14768,Hispanic Journal of Behavioral Sciences,journal,"15526364, 07399863",Social_Psychology
26602,Evaluation and Program Planning,journal,"01497189, 18737870",Social_Psychology
21101091713,European Journal for Qualitative Research in Psychotherapy,journal,17567599,Social_Psychology
18000156705,Soccer and Society,journal,"17439590, 14660970",Social_Psychology
21100228016,Ecopsychology,journal,19429347,Social_Psychology
21100779057,World Leisure Journal,journal,"23334509, 16078055",Social_Psychology
19700175790,International Journal of Social Psychology,journal,"15793680, 02134748",Social_Psychology
13414,Contemporary Family Therapy,journal,"08922764, 15733335",Social_Psychology
5800154205,International Journal of Comparative and Applied Criminal Justice,journal,"21576475, 01924036",Social_Psychology
28831,Public Culture,journal,"15278018, 08992363",Social_Psychology
19800188058,Australian Journal of Learning Difficulties,journal,"19404158, 19404166",Social_Psychology
21100818942,Journal of Psychologists and Counsellors in Schools,journal,"20556365, 20556373",Social_Psychology
21101077107,Continuity in Education,journal,26319179,Social_Psychology
21100826927,Human Technology,journal,17956889,Social_Psychology
21100847481,Health and Social Care Chaplaincy,journal,"20515553, 20515561",Social_Psychology
21100451649,Evolutionary Behavioral Sciences,journal,"23302933, 23302925",Social_Psychology
21100464772,Network Science,journal,"20501250, 20501242",Social_Psychology
4700152785,Journal of Intergenerational Relationships,journal,15350770,Social_Psychology
13475,Culture and Psychology,journal,"14617056, 1354067X",Social_Psychology
19900191944,OCNOS,journal,1885446X,Social_Psychology
15500154703,Evolutionary Psychology,journal,14747049,Social_Psychology
14009,Psychology and Developing Societies,journal,"09730761, 09713336",Social_Psychology
11200153529,Journal of Spirituality in Mental Health,journal,"19349645, 19349637",Social_Psychology
14821,Social Behavior and Personality,journal,"11796391, 03012212",Social_Psychology
5700165569,"Food, Culture and Society",journal,15528014,Social_Psychology
10600153338,Integrative Psychological and Behavioral Science,journal,"19324502, 19363567",Social_Psychology
21100834354,International Journal of Human Rights in Healthcare,journal,"20564902, 20564910",Social_Psychology
21101017385,International Journal of Latin American Religions,journal,25099965,Social_Psychology
15964,Journal of Prevention and Intervention in the Community,journal,"10852352, 15407330",Social_Psychology
19900195028,SA Journal of Industrial Psychology,journal,"20710763, 02585200",Social_Psychology
4700152783,Journal of Couple and Relationship Therapy,journal,"15332683, 15332691",Social_Psychology
21100824968,"International Perspectives in Psychology: Research, Practice, Consultation",journal,"21573891, 21573883",Social_Psychology
5700168544,Adoption &amp; Fostering,journal,"1740469X, 03085759",Social_Psychology
12792,Pastoral Psychology,journal,"15736679, 00312789",Social_Psychology
15726,Kolner Zeitschrift fur Soziologie und Sozialpsychologie,journal,"00232653, 1861891X",Social_Psychology
21100425898,Fat Studies,journal,"2160486X, 21604851",Social_Psychology
19900191409,Partner Abuse,journal,"19466560, 19466579",Social_Psychology
21100442094,Social Inclusion,journal,21832803,Social_Psychology
21100897522,i-com,journal,"21966826, 1618162X",Social_Psychology
21100244818,International Journal of Developmental Sciences,journal,"21917485, 2192001X",Social_Psychology
21101162635,Review of Behavioral Economics,journal,"23266201, 23266198",Social_Psychology
21100980646,Current Issues in Personality Psychology,journal,"23534192, 2353561X",Social_Psychology
21100842323,Journal of Trust Research,journal,"2151559X, 21515581",Social_Psychology
21100787776,Papers on Social Representations,journal,"18193978, 10215573",Social_Psychology
21100860383,Cultural-Historical Psychology,journal,"22248935, 18165435",Social_Psychology
21100396438,Psicologia Sociale,journal,18272517,Social_Psychology
18336,Counseling and Values,journal,"01607960, 2161007X",Social_Psychology
21100996943,Psychological Science and Education,journal,"18142052, 23117273",Social_Psychology
19500157216,Journal of Addictions and Offender Counseling,journal,"10553835, 21611874",Social_Psychology
21100900143,Journal of Social Ontology,journal,21969663,Social_Psychology
19700188266,Humanistic Psychologist,journal,"15473333, 08873267",Social_Psychology
16800154752,Journal of Cognition and Culture,journal,"15677095, 15685373",Social_Psychology
20600195510,"Journal of Aggression, Conflict and Peace Research",journal,"20428715, 17596599",Social_Psychology
21100834525,Gruppe. Interaktion. Organisation. Zeitschrift fur Angewandte Organisationspsychologie,journal,"23666145, 23666218",Social_Psychology
19900192514,Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide,journal,"17467594, 17467586",Social_Psychology
21100790313,Interpersona,journal,19816472,Social_Psychology
4700152636,Mind and Society,journal,15937879,Social_Psychology
21101023175,Journal of Water and Environmental Nanotechnology,journal,"24766615, 24767204",Social_Psychology
21100896926,Creativity,journal,23540036,Social_Psychology
21100896854,Eurasian Journal of Applied Linguistics,journal,21491135,Social_Psychology
21100228948,"TPM - Testing, Psychometrics, Methodology in Applied Psychology",journal,19726325,Social_Psychology
5600154732,Journal for Specialists in Group Work,journal,01933922,Social_Psychology
21100400185,Girlhood Studies,journal,"19388209, 19388322",Social_Psychology
21100870922,Journal of Behavioral Science,journal,19064675,Social_Psychology
21100217604,Siglo Cero,journal,02101696,Social_Psychology
19600157748,Ansiedad y Estres,journal,11347937,Social_Psychology
17900156714,Journal of Investigative Psychology and Offender Profiling,journal,"15444759, 15444767",Social_Psychology
21101050919,"Journal of Family Trauma, Child Custody and Child Development",journal,"26904586, 26904594",Social_Psychology
21100887416,"Marketing, Zeitschrift fur Forschung und Praxis",journal,03441369,Social_Psychology
5800207419,Tizard Learning Disability Review,journal,13595474,Social_Psychology
21101039079,Central European Management Journal,journal,"26580845, 26582430",Social_Psychology
5700153385,Journal of Human Values,journal,"09730737, 09716858",Social_Psychology
21101032633,Social Psychology and Society,journal,"22211527, 23117052",Social_Psychology
21100935905,Boyhood Studies,journal,"23759240, 23759267",Social_Psychology
21100451188,European Journal of Adapted Physical Activity,journal,18033857,Social_Psychology
21100793836,Journal of Relationships Research,journal,18380956,Social_Psychology
21101043799,Emotions and Society,journal,"26316900, 26316897",Social_Psychology
19900191902,"Journal of Occupational Therapy, Schools, and Early Intervention",journal,"19411243, 19411251",Social_Psychology
21101132227,Culture and Evolution,journal,29397375,Social_Psychology
25313,Journal of Child and Adolescent Substance Abuse,journal,1067828X,Social_Psychology
21100453516,"Psychology, Society and Education",journal,"1989709X, 21712085",Social_Psychology
21100866386,Organisational and Social Dynamics,journal,"14742780, 20443765",Social_Psychology
11600153828,Psihologijske Teme,journal,13320742,Social_Psychology
21101136680,Bereavement,journal,27547833,Social_Psychology
5700167184,Home Cultures,journal,17406315,Social_Psychology
21100888810,Studies in Business and Economics,journal,"23445416, 18424120",Social_Psychology
21100905324,Journal of Brand Strategy,journal,"2045855X, 20458568",Social_Psychology
21101152124,Psychology and Law,journal,22225196,Social_Psychology
21100239659,Maltrattamento e Abuso all'Infanzia,journal,"15914267, 19725140",Social_Psychology
19900188288,Subjectivity,journal,"17556341, 1755635X",Social_Psychology
5700167230,"Psychoanalysis, Culture and Society",journal,"10880763, 15433390",Social_Psychology
21101134692,Studia Warminskie,journal,01376624,Social_Psychology
21100812388,Revista Criminalidad,journal,"17943108, 22565531",Social_Psychology
21100204113,Revista Iberoamericana de Psicologia del Ejercicio y el Deporte,journal,18868576,Social_Psychology
21100855411,Journal for Social Action in Counseling and Psychology,journal,21598142,Social_Psychology
4700152865,Psicologia e Sociedade,journal,"18070310, 01027182",Social_Psychology
19700177314,Revista de Cercetare si Interventie Sociala,journal,"15833410, 15845397",Social_Psychology
21100923615,Rivista Internazionale di Filosofia e Psicologia,journal,"20394667, 22392629",Social_Psychology
21100828655,Journal of Financial Therapy,journal,"19449771, 19457774",Social_Psychology
21100830426,"Journal of Criminological Research, Policy and Practice",journal,"2056385X, 20563841",Social_Psychology
18300156721,Zeitschrift fur Sportpsychologie,journal,"21906300, 16125010",Social_Psychology
21100211304,Psicologia Escolar e Educacional,journal,"14138557, 21753539",Social_Psychology
21100896490,ETS Research Report Series,journal,23308516,Social_Psychology
21100396634,"Journal of Educational, Cultural and Psychological Studies",journal,"20377924, 20377932",Social_Psychology
21100929891,Changing Societies and Personalities,journal,"25876104, 25878964",Social_Psychology
7500153128,Universitas Psychologica,journal,16579267,Social_Psychology
19900193866,Gedrag en Organisatie,journal,"09215077, 18757235",Social_Psychology
4100151502,Psychologie du Travail et des Organisations,journal,14202530,Social_Psychology
21100942914,Organizatsionnaya Psikhologiya,journal,23125942,Social_Psychology
21100198239,"Enfances, Familles, Generations",journal,17086310,Social_Psychology
21100898990,Dynamic Relationships Management Journal,journal,"2350367X, 22325867",Social_Psychology
21100881506,Przestrzen Spoleczna,journal,"20841558, 20847696",Social_Psychology
19700187812,Psychologist-Manager Journal,journal,"15503461, 10887156",Social_Psychology
21100206246,Orientation Scolaire et Professionnelle,journal,"02496739, 21043795",Social_Psychology
21100858350,"Fashion, Style and Popular Culture",journal,"20500734, 20500726",Social_Psychology
4700152401,Psychoanalytic Social Work,journal,15228878,Social_Psychology
21100902624,"Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior",journal,08998620,Social_Psychology
17700155037,Cahiers Critiques de Therapie Familiale et de Pratiques de Reseaux,journal,"17821398, 13728202",Social_Psychology
13480,Current Research in Social Psychology,journal,10887423,Social_Psychology
