Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
18;19600166326;"Mindfulness";journal;"18688535, 18688527";1,319;Q1;88;242;749;16301;2921;701;3,69;67,36;Germany;Western Europe;"Springer Verlag";"2010-2023";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Health (social science) (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
19;18747;"Psychophysiology";journal;"00485772, 14698986";1,303;Q1;176;287;620;21871;2430;614;3,42;76,21;United States;Northern America;"John Wiley and Sons Inc.";"1964-2023";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Developmental Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neuropsychology and Physiological Psychology (Q1); Neuroscience (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1); Biological Psychiatry (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Psychology"
20;21100935976;"Cognitive Research: Principles and Implications";journal;"23657464";1,269;Q1;37;67;244;4459;1120;242;3,48;66,55;United Kingdom;Western Europe;"SpringerOpen";"2016-2023";"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1)";"Neuroscience; Psychology"
21;21101028072;"Open Mind";journal;"24702986";1,224;Q1;9;44;23;2985;74;23;3,21;67,84;United States;Northern America;"MIT Press Journals";"2018-2020, 2022-2023";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1)";"Neuroscience; Psychology; Social Sciences"
22;21100915393;"Neuroscience of Consciousness";journal;"20572107";1,183;Q1;16;26;88;2293;364;88;4,31;88,19;United Kingdom;Western Europe;"Oxford University Press";"2017, 2019-2023";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Psychology"
23;15482;"Journal of Experimental Psychology: Learning Memory and Cognition";journal;"19391285, 02787393";1,169;Q1;174;95;390;6475;1021;389;2,38;68,16;United States;Northern America;"American Psychological Association";"1975, 1982-2023";"Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1)";"Psychology; Social Sciences"
24;12887;"Cognitive Therapy and Research";journal;"01475916, 15732819";1,162;Q1;115;109;284;6945;897;281;2,86;63,72;United States;Northern America;"Springer New York";"1977-2023";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1)";"Psychology"
25;15330;"Thinking and Reasoning";journal;"14640708, 13546783";1,137;Q1;55;40;69;2679;298;69;3,98;66,98;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995, 2000-2023";"Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology"
26;13069;"Psycho-Oncology";journal;"10579249, 10991611";1,136;Q1;158;187;735;7996;2662;703;3,23;42,76;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2023";"Experimental and Cognitive Psychology (Q1); Oncology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
27;12858;"Cognition and Emotion";journal;"02699931, 14640600";1,110;Q1;151;116;386;6460;1114;374;2,90;55,69;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2023";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1)";"Arts and Humanities; Psychology"
28;12874;"Cognitive Science";journal;"03640213, 15516709";1,082;Q1;136;162;370;10643;1030;353;2,59;65,70;United States;Northern America;"Wiley-Blackwell";"1977-2023";"Experimental and Cognitive Psychology (Q1); Artificial Intelligence (Q2); Cognitive Neuroscience (Q2)";"Computer Science; Neuroscience; Psychology"
29;15472;"Journal of Experimental Child Psychology";journal;"00220965, 10960457";1,082;Q1;136;145;541;8535;1414;539;2,34;58,86;United States;Northern America;"Academic Press Inc.";"1964-2024";"Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1)";"Psychology"
30;12710;"Motivation and Emotion";journal;"15736644, 01467239";1,069;Q1;104;71;178;4974;858;177;2,24;70,06;United States;Northern America;"Springer New York";"1977-2023";"Experimental and Cognitive Psychology (Q1); Social Psychology (Q1)";"Psychology"
