Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
75;22029;"Dyslexia";journal;"10769242, 10990909";0,670;Q2;62;25;83;1772;207;81;2,07;70,88;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1996-2023";"Developmental and Educational Psychology (Q2); Education (Q2); Experimental and Cognitive Psychology (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Psychology; Social Sciences"
76;23083;"Language and Communication";journal;"02715309";0,667;Q2;52;54;178;3800;346;173;1,69;70,37;United Kingdom;Western Europe;"Elsevier Ltd";"1981-2023";"Communication (Q1); Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
77;21100370881;"Journal of experimental psychology. Animal learning and cognition";journal;"23298464, 23298456";0,662;Q2;78;20;110;647;148;106;1,35;32,35;United States;Northern America;"American Psychological Association";"2014-2023";"Ecology, Evolution, Behavior and Systematics (Q2); Experimental and Cognitive Psychology (Q2)";"Agricultural and Biological Sciences; Psychology"
78;21101173089;"Journal of Cognitive Enhancement";journal;"25093304, 25093290";0,658;Q2;27;24;119;1598;270;116;2,00;66,58;United States;Northern America;"Springer Nature";"2017-2023";"Experimental and Cognitive Psychology (Q2); Neuropsychology and Physiological Psychology (Q2); Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3)";"Neuroscience; Psychology"
79;15947;"Behaviormetrika";journal;"03857417";0,654;Q2;14;32;66;1301;151;57;1,63;40,66;Japan;Asiatic Region;"Behaviormetric Society of Japan";"1986, 2017-2023";"Analysis (Q2); Applied Mathematics (Q2); Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Mathematics; Psychology"
80;29520;"Animal Cognition";journal;"14359448, 14359456";0,648;Q2;90;155;349;11544;829;342;2,18;74,48;Germany;Western Europe;"Springer Verlag";"1998-2023";"Ecology, Evolution, Behavior and Systematics (Q2); Experimental and Cognitive Psychology (Q2)";"Agricultural and Biological Sciences; Psychology"
81;12737;"Aging, Neuropsychology, and Cognition";journal;"17444128, 13825585";0,637;Q2;67;70;173;4520;343;172;1,74;64,57;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2023";"Experimental and Cognitive Psychology (Q2); Neuropsychology and Physiological Psychology (Q2); Psychiatry and Mental Health (Q2); Geriatrics and Gerontology (Q3)";"Medicine; Psychology"
82;21100210905;"i-Perception";journal;"20416695";0,629;Q3;37;53;193;1953;416;192;2,33;36,85;United Kingdom;Western Europe;"SAGE Publications Ltd";"2010-2023";"Ophthalmology (Q2); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
83;14018;"Human Movement Science";journal;"01679457, 18727646";0,628;Q3;104;96;312;4298;700;310;1,92;44,77;Netherlands;Western Europe;"Elsevier B.V.";"1982-2023";"Biophysics (Q2); Medicine (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2); Experimental and Cognitive Psychology (Q3); Sports Science (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Psychology"
84;12100156320;"Mind, Brain, and Education";journal;"17512271, 1751228X";0,628;Q3;46;45;105;2490;272;93;2,30;55,33;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2023";"Developmental and Educational Psychology (Q2); Education (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)";"Neuroscience; Psychology; Social Sciences"
85;16750;"Journal of Neurolinguistics";journal;"18738052, 09116044";0,625;Q3;67;35;143;2777;338;141;1,74;79,34;United Kingdom;Western Europe;"Elsevier B.V.";"1985-1986, 1988-1992, 1994-2024";"Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)";"Arts and Humanities; Neuroscience; Psychology; Social Sciences"
86;15372;"Journal of Adult Development";journal;"10680667, 15733440";0,619;Q3;52;52;84;3152;210;83;2,18;60,62;United States;Northern America;"Springer New York";"1994-2023";"Developmental and Educational Psychology (Q2); Life-span and Life-course Studies (Q2); Experimental and Cognitive Psychology (Q3)";"Psychology; Social Sciences"
87;5800207751;"Metaphor and Symbol";journal;"15327868, 10926488";0,608;Q3;33;21;61;1242;138;57;2,48;59,14;United States;Northern America;"Psychology Press Ltd";"2007-2023";"Communication (Q1); Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q3)";"Psychology; Social Sciences"
88;13560;"Ecological Psychology";journal;"15326969, 10407413";0,598;Q3;53;7;33;567;70;32;2,10;81,00;United States;Northern America;"Routledge";"1989-2023";"Computer Science (miscellaneous) (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Social Psychology (Q2); Experimental and Cognitive Psychology (Q3)";"Agricultural and Biological Sciences; Computer Science; Psychology"
89;15428;"Journal of Communication Disorders";journal;"00219924, 18737994";0,588;Q3;76;57;197;3433;431;188;2,07;60,23;United States;Northern America;"Elsevier Inc.";"1967-2023";"Linguistics and Language (Q1); LPN and LVN (Q1); Speech and Hearing (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)";"Health Professions; Neuroscience; Nursing; Psychology; Social Sciences"
90;12795;"Perception";journal;"14684233, 03010066";0,584;Q3;103;54;223;2442;358;211;1,56;45,22;United States;Northern America;"SAGE Publications Inc.";"1972-2023";"Ophthalmology (Q2); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
91;23635;"Adaptive Behavior";journal;"17412633, 10597123";0,562;Q3;59;47;157;3218;282;126;1,79;68,47;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2023";"Philosophy (Q1); Artificial Intelligence (Q3); Behavioral Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)";"Arts and Humanities; Computer Science; Neuroscience; Psychology"
92;12798;"Perceptual and Motor Skills";journal;"1558688X, 00315125";0,557;Q3;81;138;308;6980;624;304;1,86;50,58;United States;Northern America;"SAGE Publications Inc.";"1962-2023";"Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Neuroscience; Psychology"
93;14145;"Experimental Psychology";journal;"21905142, 16183169";0,549;Q3;65;22;98;1048;148;96;1,23;47,64;United States;Northern America;"Hogrefe Publishing";"1962, 1998-2023";"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2); Experimental and Cognitive Psychology (Q3)";"Arts and Humanities; Medicine; Psychology"
94;22496;"Journal of Psycholinguistic Research";journal;"15736555, 00906905";0,547;Q3;68;140;212;7523;447;208;2,05;53,74;United States;Northern America;"Springer New York";"1971-2023";"Linguistics and Language (Q1); Psychology (miscellaneous) (Q2); Experimental and Cognitive Psychology (Q3)";"Psychology; Social Sciences"
95;130113;"Cognitive Processing";journal;"16124782, 16124790";0,534;Q3;53;51;164;3518;297;161;1,70;68,98;Germany;Western Europe;"Springer Verlag";"2005-2023";"Medicine (miscellaneous) (Q2); Artificial Intelligence (Q3); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
96;5800208235;"Spatial Cognition and Computation";journal;"13875868";0,534;Q3;42;14;36;678;90;36;2,04;48,43;United States;Northern America;"Taylor and Francis Ltd.";"2000, 2003-2023";"Computer Graphics and Computer-Aided Design (Q2); Computer Vision and Pattern Recognition (Q2); Earth-Surface Processes (Q2); Modeling and Simulation (Q2); Experimental and Cognitive Psychology (Q3)";"Computer Science; Earth and Planetary Sciences; Mathematics; Psychology"
97;21100829991;"Psychology of Consciousness: Theory Research, and Practice";journal;"23265531, 23265523";0,532;Q3;21;33;122;2651;217;119;1,37;80,33;United States;Northern America;"American Psychological Association";"2016-2023";"Clinical Psychology (Q2); Social Psychology (Q2); Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3)";"Psychology"
98;21101160593;"Insight";journal;"26646005, 2663970X";0,529;Q3;9;30;55;862;120;49;3,03;28,73;Ukraine;Eastern Europe;"Faculty of Psychology, History and Sociology, Kherson State University";"2020-2023";"Psychology (miscellaneous) (Q2); Social Psychology (Q2); Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3)";"Psychology"
99;21101041530;"Journal of Cultural Cognitive Science";journal;"25201018";0,527;Q3;11;24;67;1551;114;62;1,23;64,63;Singapore;Asiatic Region;"Springer International Publishing";"2017-2023";"Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q3)";"Psychology; Social Sciences"
100;30070;"Journal of Rational - Emotive and Cognitive - Behavior Therapy";journal;"08949085, 15736563";0,525;Q3;44;78;118;4638;305;118;2,24;59,46;United States;Northern America;"Springer New York";"1983-2023";"Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q3)";"Psychology"
101;21100243801;"Multisensory Research";journal;"22134808, 22134794";0,521;Q3;57;28;108;2212;216;105;1,81;79,00;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2023";"Computer Vision and Pattern Recognition (Q2); Ophthalmology (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
102;21101175729;"Journal of Creativity";journal;"27133745";0,515;Q3;5;31;27;1876;72;27;2,67;60,52;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2023";"Experimental and Cognitive Psychology (Q3)";"Psychology"
103;12821;"Canadian Journal of Experimental Psychology";journal;"18787290, 11961961";0,511;Q3;67;17;108;1184;124;107;1,30;69,65;United States;Northern America;"Canadian Psychological Association";"1993-2023";"Experimental and Cognitive Psychology (Q3); Medicine (miscellaneous) (Q3)";"Medicine; Psychology"
104;19900192026;"Journal of Cognitive Psychology";journal;"20445911, 2044592X";0,507;Q3;73;64;197;4670;327;195;1,65;72,97;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Experimental and Cognitive Psychology (Q3)";"Psychology"
105;21100934557;"Journal of Intelligence";journal;"20793200";0,490;Q3;25;225;227;17257;691;212;3,14;76,70;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2023";"Education (Q2); Cognitive Neuroscience (Q3); Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3)";"Neuroscience; Psychology; Social Sciences"
106;11200153508;"Memory Studies";journal;"17506999, 17506980";0,477;Q3;41;160;276;8893;426;260;1,50;55,58;United Kingdom;Western Europe;"SAGE Publications Ltd";"2008-2023";"Cultural Studies (Q1); Experimental and Cognitive Psychology (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
107;21100837404;"Adaptive Human Behavior and Physiology";journal;"21987335";0,474;Q3;25;25;77;1644;118;75;1,20;65,76;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2023";"Experimental and Cognitive Psychology (Q3); Physiology (Q3); Behavioral Neuroscience (Q4)";"Biochemistry, Genetics and Molecular Biology; Neuroscience; Psychology"
108;12030;"Learning and Behavior";journal;"15434508, 15434494";0,474;Q3;63;69;148;2586;209;126;1,24;37,48;United States;Northern America;"Springer New York";"2003-2023";"Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3); Behavioral Neuroscience (Q4)";"Neuroscience; Psychology"
109;13457;"Learning and Motivation";journal;"00239690, 10959122";0,469;Q3;49;54;153;2647;322;153;2,01;49,02;United States;Northern America;"Academic Press Inc.";"1970-2023";"Education (Q2); Health (social science) (Q2); Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3)";"Psychology; Social Sciences"
110;21100218512;"Journal of Behavioral Finance";journal;"15427579, 15427560";0,465;Q3;32;57;112;3022;263;111;1,88;53,02;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Finance (Q2); Experimental and Cognitive Psychology (Q3)";"Economics, Econometrics and Finance; Psychology"
111;21100805775;"International Journal of Design Creativity and Innovation";journal;"21650357, 21650349";0,452;Q3;20;15;46;1069;105;38;2,56;71,27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2023";"Architecture (Q1); Visual Arts and Performing Arts (Q1); Aerospace Engineering (Q2); Arts and Humanities (miscellaneous) (Q2); Education (Q2); Engineering (miscellaneous) (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3); Behavioral Neuroscience (Q4)";"Arts and Humanities; Engineering; Neuroscience; Psychology; Social Sciences"
112;30014;"Journal of Motor Behavior";journal;"00222895, 19401027";0,441;Q3;79;62;203;3303;293;203;1,32;53,27;United States;Northern America;"Routledge";"1969-2023";"Biophysics (Q3); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3); Orthopedics and Sports Medicine (Q3); Sports Science (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Neuroscience; Psychology"
113;12693;"Military Psychology";journal;"15327876, 08995605";0,432;Q3;52;97;163;5016;263;160;1,53;51,71;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990, 1996-2023";"Social Sciences (miscellaneous) (Q2); Experimental and Cognitive Psychology (Q3); Psychology (miscellaneous) (Q3)";"Psychology; Social Sciences"
114;12100154833;"ACM Transactions on Applied Perception";journal;"15443965, 15443558";0,429;Q3;58;20;52;1240;122;50;2,31;62,00;United States;Northern America;"Association for Computing Machinery (ACM)";"2004-2023";"Computer Science (miscellaneous) (Q2); Experimental and Cognitive Psychology (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics; Psychology"
115;21100451649;"Evolutionary Behavioral Sciences";journal;"23302933, 23302925";0,421;Q3;26;19;135;1143;168;135;1,09;60,16;United States;Northern America;"American Psychological Association";"2014-2023";"Experimental and Cognitive Psychology (Q3); Social Psychology (Q3)";"Psychology"
116;15427;"Journal of Cognitive Psychotherapy";journal;"08898391, 1938887X";0,417;Q3;57;20;66;1136;70;58;0,56;56,80;United States;Northern America;"Springer Publishing Company";"1987-2023";"Clinical Psychology (Q3); Experimental and Cognitive Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology"
117;21100469452;"Timing and Time Perception";journal;"2213445X, 22134468";0,398;Q3;19;27;80;622;96;79;1,20;23,04;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2023";"Applied Psychology (Q3); Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3); Cognitive Neuroscience (Q4)";"Neuroscience; Psychology"
118;13375;"Psicologica";journal;"02112159, 15768597";0,394;Q3;23;9;25;583;29;25;1,08;64,78;Spain;Western Europe;"Digital CSIC";"2004-2021";"Arts and Humanities (miscellaneous) (Q2); Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3); Psychology (miscellaneous) (Q3); Statistics and Probability (Q3)";"Arts and Humanities; Mathematics; Psychology"
119;10600153338;"Integrative Psychological and Behavioral Science";journal;"19324502, 19363567";0,380;Q3;42;96;186;6646;260;184;1,41;69,23;United States;Northern America;"Springer New York";"1969, 1976, 1991, 2007-2023";"Cultural Studies (Q1); Philosophy (Q1); Anthropology (Q2); Applied Psychology (Q3); Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3); Social Psychology (Q3); Behavioral Neuroscience (Q4)";"Arts and Humanities; Neuroscience; Psychology; Social Sciences"
120;73721;"South African Journal of Communication Disorders";journal;"03798046, 22254765";0,370;Q3;17;15;99;548;118;98;1,10;36,53;South Africa;Africa;"OpenJournals Publishing AOSIS (Pty) Ltd";"1977-2023";"Linguistics and Language (Q1); Communication (Q2); Experimental and Cognitive Psychology (Q3); Speech and Hearing (Q3); Cognitive Neuroscience (Q4)";"Health Professions; Neuroscience; Psychology; Social Sciences"
121;21100818750;"Journal of EMDR Practice and Research";journal;"1933320X, 19333196";0,369;Q3;21;22;59;1239;92;57;1,51;56,32;United States;Northern America;"Springer Publishing Company";"2011, 2014-2023";"Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3); Psychiatry and Mental Health (Q3); Biological Psychiatry (Q4); Cognitive Neuroscience (Q4)";"Medicine; Neuroscience; Psychology"
122;21100860435;"Journal of Motor Learning and Development";journal;"23253215, 23253193";0,331;Q4;19;33;96;1382;104;94;0,70;41,88;United States;Northern America;"Human Kinetics Publishers Inc.";"2017-2023";"Biophysics (Q3); Orthopedics and Sports Medicine (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Psychology"
123;21100396385;"Journal of Evidence-Based Psychotherapies";journal;"23600853";0,326;Q4;22;9;52;501;60;52;0,89;55,67;Romania;Eastern Europe;"Cluj University Press";"2014-2022";"Clinical Psychology (Q3); Experimental and Cognitive Psychology (Q4)";"Psychology"
124;21101077110;"Cognitive Computation and Systems";journal;"25177567";0,322;Q4;10;25;90;935;135;88;1,43;37,40;United Kingdom;Western Europe;"John Wiley and Sons Inc.";"2019-2023";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Computer Science; Neuroscience; Psychology"
125;21100854898;"NeuroRegulation";journal;"23730587";0,318;Q4;12;21;52;966;72;51;1,82;46,00;United States;Northern America;"International Society for Neurofeedback &amp; Research";"2014-2023";"Applied Psychology (Q3); Neurology (clinical) (Q3); Neuropsychology and Physiological Psychology (Q3); Physiology (medical) (Q3); Psychiatry and Mental Health (Q3); Behavioral Neuroscience (Q4); Biological Psychiatry (Q4); Experimental and Cognitive Psychology (Q4)";"Medicine; Neuroscience; Psychology"
126;18300156711;"Advances in Cognitive Psychology";journal;"18951171";0,306;Q4;36;36;90;2466;99;87;0,87;68,50;Poland;Eastern Europe;"University of Finance and Management";"2007-2023";"Applied Psychology (Q3); Clinical Psychology (Q3); Psychiatry and Mental Health (Q3); Psychology (miscellaneous) (Q3); Experimental and Cognitive Psychology (Q4); Neuroscience (miscellaneous) (Q4)";"Medicine; Neuroscience; Psychology"
127;19700166619;"Journal of Neuroscience, Psychology, and Economics";journal;"1937321X, 2151318X";0,306;Q4;30;14;46;902;64;46;1,72;64,43;United States;Northern America;"American Psychological Association";"2008-2023";"Economics, Econometrics and Finance (miscellaneous) (Q2); Applied Psychology (Q3); Business, Management and Accounting (miscellaneous) (Q3); Neuropsychology and Physiological Psychology (Q3); Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Neuroscience; Psychology"
128;16800154752;"Journal of Cognition and Culture";journal;"15677095, 15685373";0,300;Q4;46;24;67;1520;56;67;0,78;63,33;Netherlands;Western Europe;"Brill Academic Publishers";"2001-2023";"Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2); Social Psychology (Q3); Experimental and Cognitive Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
129;21100924303;"Indo-European Linguistics";journal;"22125892, 22125884";0,299;Q4;6;7;24;644;17;23;0,53;92,00;Netherlands;Western Europe;"Brill Academic Publishers";"2015-2023";"Cultural Studies (Q1); History (Q1); Communication (Q2); Linguistics and Language (Q2); Experimental and Cognitive Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
130;13359;"Psicologia Conductual";journal;"11329483";0,296;Q4;30;32;111;1752;105;110;0,86;54,75;Spain;Western Europe;"Fundacion para el Avance de la Psicologia Clinica Conductual";"1996-2023";"Clinical Psychology (Q3); Experimental and Cognitive Psychology (Q4)";"Psychology"
131;4700152636;"Mind and Society";journal;"15937879";0,295;Q4;22;8;66;433;83;60;1,63;54,13;Germany;Western Europe;"Springer Verlag";"2005-2023";"Cultural Studies (Q1); History (Q1); Philosophy (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Psychology (Q3); Experimental and Cognitive Psychology (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Psychology; Social Sciences"
132;21101023175;"Journal of Water and Environmental Nanotechnology";journal;"24766615, 24767204";0,293;Q4;10;32;96;1606;179;96;1,83;50,19;Iran;Middle East;"Iranian Environmental Mutagen Society";"2019-2023";"Materials Science (miscellaneous) (Q3); Social Psychology (Q3); Water Science and Technology (Q3); Experimental and Cognitive Psychology (Q4)";"Environmental Science; Materials Science; Psychology"
133;29474;"American Journal of Psychology";journal;"19398298, 00029556";0,271;Q4;51;0;95;0;80;92;0,65;0,00;United States;Northern America;"University of Illinois Press";"1945-2022";"Arts and Humanities (miscellaneous) (Q2); Developmental and Educational Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Arts and Humanities; Psychology"
134;5800207716;"Gesture";journal;"15699773, 15681475";0,266;Q4;43;0;36;0;35;36;0,75;0,00;Netherlands;Western Europe;"John Benjamins Publishing Company";"2001-2014, 2016-2022";"Cultural Studies (Q1); Linguistics and Language (Q2); Communication (Q3); Experimental and Cognitive Psychology (Q4)";"Psychology; Social Sciences"
135;21100197358;"Psyecology";journal;"19899386, 21711976";0,264;Q4;16;13;52;676;48;50;0,72;52,00;United Kingdom;Western Europe;"SAGE Publications Inc.";"2010-2023";"Environmental Science (miscellaneous) (Q3); Applied Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Environmental Science; Psychology"
136;7000153258;"International Journal of Psychology and Psychological Therapy";journal;"15777057";0,251;Q4;39;22;73;1277;81;73;0,83;58,05;Spain;Western Europe;"Universidad de Almeria";"2001-2023";"Clinical Psychology (Q3); Developmental and Educational Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology"
137;21101018933;"Habitat Sustentable";journal;"07190700";0,248;Q4;5;19;49;541;36;41;0,47;28,47;Chile;Latin America;"Universidad del Bío Bío";"2019-2023";"Architecture (Q2); Building and Construction (Q3); Geography, Planning and Development (Q3); Materials Science (miscellaneous) (Q3); Urban Studies (Q3); Experimental and Cognitive Psychology (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Energy; Engineering; Materials Science; Psychology; Social Sciences"
138;18300156724;"Psychology of Language and Communication";journal;"12342238";0,241;Q4;15;24;43;1293;37;41;0,94;53,88;Poland;Eastern Europe;"University of Warsaw, Faculty of Psychology";"2008-2023";"Linguistics and Language (Q2); Communication (Q3); Developmental and Educational Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology; Social Sciences"
139;21101132227;"Culture and Evolution";journal;"29397375";0,235;Q4;27;5;7;578;6;6;1,00;115,60;Hungary;Eastern Europe;"Akademiai Kiado";"2022-2023";"Anthropology (Q2); Cultural Studies (Q2); Ecology, Evolution, Behavior and Systematics (Q4); Experimental and Cognitive Psychology (Q4); Social Psychology (Q4)";"Agricultural and Biological Sciences; Psychology; Social Sciences"
140;21101090010;"Psikohumaniora";journal;"25029363, 25277456";0,207;Q4;5;19;51;1161;45;51;0,97;61,11;Indonesia;Asiatic Region;"State Islamic University Walisongo Semarang Faculty of Psychology and Health";"2019-2023";"Applied Psychology (Q4); Clinical Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology"
141;21101152124;"Psychology and Law";journal;"22225196";0,206;Q4;2;69;66;1813;40;66;0,61;26,28;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2022-2023";"Applied Psychology (Q4); Clinical Psychology (Q4); Experimental and Cognitive Psychology (Q4); Social Psychology (Q4)";"Psychology"
142;21100792737;"International Journal of Cognitive Research in Science, Engineering and Education";journal;"2334847X, 23348496";0,205;Q4;16;44;132;1868;97;125;0,72;42,45;Serbia;Eastern Europe;"Association for the Development of Science, Engineering and Education";"2013-2023";"Cognitive Neuroscience (Q4); Education (Q4); Experimental and Cognitive Psychology (Q4)";"Neuroscience; Psychology; Social Sciences"
143;21101155948;"Experimental Psychology (Russia)";journal;"20727593, 23117036";0,200;Q4;7;52;173;1795;72;173;0,47;34,52;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2019-2023";"Experimental and Cognitive Psychology (Q4); Neuropsychology and Physiological Psychology (Q4); Psychology (miscellaneous) (Q4)";"Psychology"
144;21100860060;"Cognition, Brain, Behavior. An Interdisciplinary Journal";journal;"2601226X, 22479228";0,194;Q4;7;11;51;663;24;50;0,48;60,27;Romania;Eastern Europe;"ASCR Publishing House";"2017-2023";"Experimental and Cognitive Psychology (Q4)";"Psychology"
145;21101144405;"Psicogente";journal;"2027212X, 01240137";0,191;Q4;5;18;57;946;44;56;0,76;52,56;Venezuela;Latin America;"Universidad Simon Bolivar";"2019-2023";"Applied Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology"
146;21101163244;"Journal for the Cognitive Science of Religion";journal;"20497563, 20497555";0,186;Q4;6;0;58;0;32;49;0,37;0,00;United Kingdom;Western Europe;"Equinox Publishing Ltd";"2019-2022";"Religious Studies (Q1); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4); Neuropsychology and Physiological Psychology (Q4)";"Arts and Humanities; Neuroscience; Psychology"
147;21100923615;"Rivista Internazionale di Filosofia e Psicologia";journal;"20394667, 22392629";0,181;Q4;4;16;64;999;29;60;0,36;62,44;Italy;Western Europe;"Mimesis Edizioni";"2019-2023";"Philosophy (Q2); Experimental and Cognitive Psychology (Q4); Social Psychology (Q4)";"Arts and Humanities; Psychology"
148;17658;"American Imago";journal;"10857931, 0065860X";0,175;Q4;17;27;97;912;53;67;0,07;33,78;United States;Northern America;"Johns Hopkins University Press";"1946-1953, 1964-1980, 1996-2023";"Literature and Literary Theory (Q1); Arts and Humanities (miscellaneous) (Q2); Music (Q2); Anthropology (Q3); Experimental and Cognitive Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
149;21100967057;"Psycholinguistics";journal;"23091797, 24153397";0,171;Q4;6;32;119;1330;79;119;0,71;41,56;Ukraine;Eastern Europe;"Pereiaslav-Khmelnytskyi Hryhorii Skovoroda State Pedagogical University";"2019-2023";"Linguistics and Language (Q2); Experimental and Cognitive Psychology (Q4)";"Psychology; Social Sciences"
150;21100967510;"East European Journal of Psycholinguistics";journal;"23123265, 23132116";0,169;Q4;4;31;90;1268;87;88;1,02;40,90;Ukraine;Eastern Europe;"Lesya Ukrainka Volyn National University";"2019-2023";"Linguistics and Language (Q2); Experimental and Cognitive Psychology (Q4)";"Psychology; Social Sciences"
151;30013;"Journal of Mind and Behavior";journal;"02710137";0,165;Q4;19;10;44;554;15;43;0,44;55,40;United States;Northern America;"Institute of Mind and Behavior Inc.";"1996-2023";"Arts and Humanities (miscellaneous) (Q3); Experimental and Cognitive Psychology (Q4)";"Arts and Humanities; Psychology"
152;21100877822;"Revista Argentina de Ciencias del Comportamiento";journal;"18524206";0,154;Q4;7;36;69;1926;31;69;0,39;53,50;Argentina;Latin America;"Universidad Nacional de Cordoba - Facultad de Psicologia";"2018-2023";"Linguistics and Language (Q3); Behavioral Neuroscience (Q4); Developmental and Educational Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Neuroscience; Psychology; Social Sciences"
153;19700188207;"Revista Mexicana de Analisis de la Conducta";journal;"20070802, 01854534";0,146;Q4;12;0;64;0;12;60;0,12;0,00;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1975, 2010-2022";"Applied Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology"
